Step Count,iA2,A2_Success,iHipFlexion_max,iHip_Extension_max,cHipFlexion_max,cHip_Extension_max,iSingle_Support,cSingle_Support,iSL,cSL,SLS,iAPGRF_max,cAPGRF_max,iVGRF_max,cVGRF_max
1,1.951886535,0,26.67903519,-6.75141716,28.01999664,-3.39445138,0.419999957,0.439999938,0.497559786,0.51549387,-0.017702995,1.318442702,1.289006352,10.22782803,9.895101547
2,1.960186958,0,26.29484749,-6.798703194,27.78110504,-5.270970821,0.420000076,0.440000057,0.502219975,0.526961088,-0.024039612,1.229853511,1.216625333,10.09252453,10.01871777
3,2.15260458,0,26.9744854,-6.675778866,27.54388046,-3.678365231,0.419999838,0.440000057,0.483339787,0.511473477,-0.028280373,1.247229338,1.209159017,10.15856552,10.00876427
4,2.411377907,0,27.39441872,-6.184364319,29.61440659,-5.128806591,0.440000057,0.420000076,0.512906611,0.522604585,-0.009365397,1.33125627,1.26741457,10.21324158,9.888147354
5,2.115252018,0,27.51460266,-5.894831657,27.29083633,-3.374725103,0.440000057,0.420000076,0.491680473,0.513031542,-0.021250935,1.374446392,1.157994509,9.915349007,10.17273617
6,2.293433189,0,26.93318748,-6.340245724,28.25557899,-4.031386852,0.420000076,0.440000057,0.501578212,0.50671941,-0.00509889,1.255816221,1.30606699,10.11014557,10.02904606
7,2.034390211,0,26.39927483,-6.031037331,27.71233177,-3.555188894,0.43999958,0.440000534,0.508476436,0.504184663,0.004238114,1.217342377,1.222639918,10.01690006,10.12739754
8,2.311738491,0,28.40183449,-4.750115395,28.36010551,-5.580542564,0.400000572,0.460000038,0.509531856,0.521591187,-0.011695336,1.275424957,1.295378685,10.12770367,10.13789177
9,2.089015484,0,26.71705627,-6.197986126,28.65742874,-2.319566727,0.420000076,0.440000534,0.487526327,0.50992763,-0.022458484,1.29793644,1.130916119,10.10081577,10.59925079
10,1.819227576,0,26.6649456,-6.969542503,27.59819412,-4.160484791,0.460000038,0.43999958,0.515599608,0.535513401,-0.018945435,1.415911794,1.295543432,9.94425106,9.912719727
11,2.310033083,0,26.26890755,-6.818698406,28.88924217,-4.160625458,0.419999123,0.460000038,0.518992662,0.514042377,0.004791981,1.254187346,1.357174754,10.22126579,10.19941521
12,1.946521163,0,25.81827164,-8.39887619,27.44568634,-4.276173592,0.43999958,0.420000076,0.504999459,0.494606644,0.01039691,1.174938798,1.149676323,9.943739891,10.03619862
13,2.092585564,0,26.66598511,-6.961140633,28.48801422,-3.981584549,0.43999958,0.420000076,0.496619195,0.526465952,-0.029173288,1.250138283,1.20310533,10.15787697,9.876749039
14,2.192433357,0,26.34674263,-7.375076771,29.57830811,-3.654532433,0.420000076,0.459999084,0.493727714,0.540723145,-0.045430318,1.321120024,1.269548535,10.1173954,10.22400093
15,2.33276701,0,26.10414124,-6.023136616,29.3895874,-4.270336628,0.420000076,0.459999084,0.501196504,0.539817274,-0.037099192,1.309840083,1.325394392,10.07252026,10.05103683
16,2.394002914,0,27.25212669,-4.630166531,27.8597374,-4.094919205,0.439998627,0.440000534,0.50312084,0.516112328,-0.012746335,1.315343499,1.299401879,10.11190987,10.17265415
