Step Count,iA2,A2_Success,iHipFlexion_max,iHip_Extension_max,cHipFlexion_max,cHip_Extension_max,iSingle_Support,cSingle_Support,iSL,cSL,SLS,iAPGRF_max,cAPGRF_max,iVGRF_max,cVGRF_max
48,2.195697308,0,28.82907104,-5.221893787,30.14534378,-3.019357204,0.419998169,0.400001526,0.463221818,0.532971263,0.034874722,1.42033112,1.141994357,9.980665207,10.72619343
49,2.340127945,0,29.38837814,-7.415131092,30.51606369,-2.943353176,0.379999995,0.440002441,0.506525576,0.531410158,0.012442291,1.359465957,1.32579267,9.985535622,10.364151
50,3.560683727,1,34.36663818,-2.096525431,30.21303558,-0.274015635,0.399999857,0.419999957,0.473443717,0.482634306,0.004595295,1.547479868,1.161879897,10.59853649,10.61434078
51,3.286107063,1,34.04240417,-1.19013381,29.53647804,-2.509068489,0.380000114,0.420000076,0.430633932,0.467075646,0.018220857,1.538494825,1.217695594,10.51616859,10.62038422
52,2.882245541,1,31.49447823,-3.983518839,28.78389549,-1.394789219,0.380000114,0.420000076,0.40683192,0.503151894,0.048159987,1.69621551,1.129719019,10.73249435,11.17239666
53,3.382040024,1,30.92891121,-3.472447634,28.6024437,-4.399550438,0.400000095,0.380000114,0.419708401,0.498314649,0.039303124,1.71426034,1.083577514,10.11698818,12.16673565
54,2.212170839,0,34.8482399,-3.774273396,30.67456055,1.354571819,0.380000114,0.400000095,0.427094877,0.458323985,0.015614554,1.43646121,1.099926114,8.976754189,11.75281143
55,3.23059082,1,34.96301651,-3.412094831,29.65359497,0.653094828,0.399999619,0.420000076,0.398516178,0.507880569,0.054682195,1.663331747,1.229750037,10.11461639,10.75110531
56,3.035975695,1,34.4859848,-2.71602869,28.53395081,-1.857592702,0.380000114,0.400000095,0.444561243,0.47102201,0.013230383,1.508584857,1.13558507,10.15809441,10.36709881
57,2.691234112,1,32.41689682,-2.290987015,26.32531738,-2.995003462,0.400000572,0.400000572,0.439575255,0.451655895,0.00604032,1.331269264,1.211790204,10.19748592,10.18432522
58,3.154255867,1,34.74435806,-2.02067256,28.85242081,0.939796925,0.379999161,0.420000076,0.444541872,0.459604919,0.007531524,1.586620569,1.127867103,10.17773151,10.83142281
59,3.046514273,1,32.84571838,-2.533247232,28.32537079,0.705779374,0.399999619,0.399999619,0.43371743,0.453929633,0.010106102,1.543043613,1.166914344,10.13605118,10.38234425
60,2.374686718,0,34.33481216,-3.06456852,31.69181442,1.765651703,0.380000114,0.399999619,0.436251819,0.473936081,0.018842131,1.472142816,1.299295545,9.55934906,9.739434242
61,3.645840645,1,36.9246254,0.394288152,28.92933464,1.469955802,0.380000114,0.400000572,0.457735747,0.465738088,0.00400117,1.475508571,1.039642572,9.993676186,11.52142048
62,3.382857561,1,33.19820023,-3.895200491,28.63046837,-0.715308189,0.400000572,0.400000572,0.422392368,0.503294587,0.040451109,1.624788404,1.215299368,10.48506927,10.71282482
63,3.183465481,1,36.33150864,-2.780421019,30.23664665,1.160962343,0.400000572,0.420000076,0.427723706,0.500290573,0.036283433,1.771009684,1.095462799,9.98346138,11.47268867
64,2.454615831,0,35.35897827,-2.701530933,30.64860916,1.883469343,0.36000061,0.420000076,0.432379097,0.463856757,0.01573883,1.4255445,1.171240926,9.650085449,10.71965885
65,2.88513422,1,34.24330902,-3.325729847,28.95599556,-1.474467039,0.399999619,0.420000076,0.424665779,0.475133479,0.02523385,1.445395112,1.330907702,10.12105465,10.93906307
66,2.891352654,1,35.3056221,-4.430295467,32.155056,0.70459193,0.399999619,0.440000534,0.46619463,0.490396529,0.01210095,1.616759896,1.307870626,10.43536282,10.8974514
67,3.340065002,1,37.29261398,-0.548176587,31.81129837,-0.146185547,0.36000061,0.420000076,0.47487855,0.404568553,-0.035154998,1.258810878,1.442750573,10.89048481,11.45141315
68,3.101572514,1,34.13399887,-5.519747734,29.64323616,-2.163399458,0.399999619,0.420000076,0.45883435,0.464321107,0.002743378,1.442977786,1.37700057,9.99123764,10.61216354
69,3.342459679,1,34.99721909,-2.421533108,30.67641449,-1.55061841,0.380001068,0.420000076,0.47519958,0.463225842,-0.005986869,1.444301605,1.395653367,10.17208576,10.13834095
70,3.254782915,1,34.35112381,-1.456371307,29.2087307,-1.387624264,0.36000061,0.440000534,0.468547136,0.467799753,-0.000373691,1.490188122,1.164611816,10.41751099,11.40112209
71,3.310703039,1,35.49631119,-2.028326273,29.05995178,-1.40568161,0.379999161,0.420000076,0.455957144,0.423036426,-0.016460359,1.423820376,1.502154231,10.3466568,11.40314007
72,2.898177862,1,34.5914917,-2.566166878,29.60425568,-3.081116676,0.379999161,0.420000076,0.491594106,0.43573907,-0.027927518,1.450987339,1.394364238,10.21453571,11.10176563
73,3.437238455,1,36.34785461,-3.662908792,29.77259064,-1.472374201,0.399999619,0.399999619,0.463011891,0.483368069,0.010178089,1.64337945,1.079249382,10.28906059,11.26397991
74,2.702812433,1,35.99719238,-4.153326035,28.33346558,-2.243386984,0.380001068,0.399999619,0.443531513,0.438506454,-0.002512529,1.304114699,1.202648163,9.241991997,10.60331631
75,2.605194092,1,34.67783356,-3.419182301,29.93296623,-2.835241795,0.380001068,0.399999619,0.451695323,0.44941926,-0.001138031,1.451009035,1.287936568,9.777761459,10.29182053
76,2.509363174,0,36.50863266,-2.284836054,30.60486984,-1.994950771,0.36000061,0.400001526,0.471473962,0.437322557,-0.017075703,1.302651525,1.09382236,10.10091209,11.49539089
77,2.204650402,0,35.67564011,-3.024274349,32.18584442,-2.05260396,0.399999619,0.400001526,0.45246461,0.440916657,-0.005773976,1.179124475,1.438669086,10.0131197,11.31086826
78,3.313102961,1,38.17185974,-0.193263739,30.49243355,-1.837325811,0.380001068,0.420000076,0.489980489,0.424461603,-0.032759443,1.362732053,1.43022418,10.41264629,11.11470222
79,3.531028271,1,36.48035431,-3.126707554,31.58731079,-2.661602497,0.380001068,0.400001526,0.491464049,0.446297735,-0.022583157,1.448650002,1.429932833,9.542981148,11.78127861
80,3.222966671,1,35.38293076,0.346996427,30.96486473,-2.845687151,0.379997253,0.419998169,0.478907436,0.433048546,-0.022929445,1.298924088,1.363083839,10.0376749,11.35760212
81,3.575841665,1,37.65751266,0.57927078,29.57196999,-0.239992782,0.380001068,0.399997711,0.471366376,0.436609894,-0.017378241,1.482937932,1.145203114,10.15345097,12.0771904
82,2.380627155,0,34.48121643,-1.836721778,30.80563545,-2.467986107,0.399997711,0.420001984,0.450606853,0.417860389,-0.016373232,1.248895407,1.549003124,10.12745094,10.81841278
83,2.512711048,0,36.69205093,-0.953261971,29.39666748,-3.428152084,0.380001068,0.399997711,0.508819342,0.412957966,-0.047930688,1.131194592,1.447296262,10.22914982,10.69074154
84,3.130875349,1,34.75658417,-2.523048878,30.45902824,-2.015363455,0.400001526,0.380001068,0.46924597,0.433817506,-0.017714232,1.442577243,1.477442384,9.646611214,10.55655956
85,2.90167141,1,35.95428848,-2.378769159,30.45890808,-1.200742006,0.36000061,0.399997711,0.480298668,0.476650208,-0.00182423,1.522368789,1.278786778,10.2910862,11.10043621
86,2.544960499,0,36.20729828,-4.090294838,30.36655045,-2.716396809,0.380001068,0.400001526,0.451837897,0.410524964,-0.020656466,1.129227281,1.324597478,10.20840263,10.40145493
87,2.944060326,1,37.36761856,-4.099982738,30.65569687,-1.695021868,0.380001068,0.400001526,0.491420656,0.425836414,-0.032792121,1.307254553,1.280038714,9.081771851,10.93566895
88,3.704069614,1,37.87621307,-0.293998361,33.08182144,-0.033297382,0.379997253,0.399997711,0.471504301,0.43263343,-0.019435436,1.454946399,1.273424029,9.320707321,11.33913708
89,3.255254507,1,38.41716385,-1.985368252,32.71195602,-1.387244344,0.36000061,0.419998169,0.440633744,0.442803115,0.001084685,1.485590696,1.377629995,9.955237389,11.2511797
90,2.928885221,1,38.95757675,-4.695960045,34.72912598,-0.191667214,0.380001068,0.420001984,0.4640387,0.428850979,-0.017593861,1.306325912,1.437659144,9.872372627,11.37853146
91,3.301978111,1,33.57889557,-4.541327477,29.58923721,-1.866334915,0.419998169,0.380001068,0.440790683,0.443444818,0.001327068,1.42811799,1.263169169,9.644040108,10.76094627
92,2.872430325,1,34.54832458,-3.397338152,31.41525078,-1.965873122,0.400001526,0.419998169,0.451632321,0.481182098,0.014774889,1.537745357,1.433896065,9.499483109,10.69478893
93,3.032645941,1,36.85473251,0.218790546,29.3116951,-2.858056307,0.399997711,0.400001526,0.493884712,0.397789657,-0.048047528,1.309614301,1.428935051,10.20963001,11.08775234
94,2.861771107,1,35.05267334,-2.403506041,32.47814941,0.767431021,0.400001526,0.419998169,0.476873517,0.457714409,-0.009579554,1.406558752,1.458508611,9.676730156,11.01082039
95,2.65944767,1,36.41980362,-2.895404816,31.82738495,-2.269979477,0.359996796,0.400001526,0.493239194,0.417447567,-0.037895814,1.136705756,1.440817833,11.13770199,10.82499695
96,3.039234877,1,36.88030243,0.437396199,29.89866447,-0.795976698,0.420001984,0.419998169,0.477624208,0.432997525,-0.022313341,1.210935473,1.385002494,9.959716797,11.74286747
97,3.814276218,1,39.17778778,-0.344212949,28.98139381,-1.821086168,0.399997711,0.420001984,0.469871253,0.455655813,-0.00710772,1.626152039,1.189299464,10.01312065,12.06464481
98,2.802646637,1,37.64187241,-2.532343149,30.79789734,-2.062763929,0.380001068,0.419998169,0.482064605,0.431564093,-0.025250256,1.404857159,1.350665808,10.38630295,10.76346016
