Task,ExpTime,iStrideCt,iStrideLeg,iStrideUse,iHS1,cTO,cHS,iTO,iHS2,iA2_Target,iA2_Actual,iA2_Decr,iA2_Success,iA2_Time,iHipAng1_MinSt,iHipAng1_MaxSw,iHipAngVel1_MaxStSw,iHipPow1_H1,iHipPow1_H2,iHipPow1_H3,cHipAng1_MaxSt,cHipAng1_MinSw,iHipAng2_MinSt,iHipAng2_MaxSw,iKneeAng1_IC,iKneeAng1_MaxSw,iKneeAngVel1_MaxSw,iKneeMom1_MaxSt,iKneePow1_K2,iKneePow1_K3,iAnkAng1_iA2,iAnkleAng1_MaxSt,iAnkleAng1_MinStSw,iAnkAngVel1_iA2,iAnkleAngVel1_MinSt,iAnkMom1_iA2,iAnkleMom1_MinSt,iGRF_AP_brake,iGRF_AP_propel,iGRF_VT_F1,iGRF_VT_F2,iGRF_VT_F3,iFT_COPreldisp_cTO,iFT_COPreldisp_cHS,iFT_COPreldisp_iA2,iDLS1_Time,iDLS2_Time,iSLS_Time,iSwing_Time,iStep_Time,cStep_Time,iStep_Length,iStep_Length_LL,cStep_Length,cStep_Length_LL,StepLengthSym,iDLS1_TimeGC,iDLS2_TimeGC,iSLS_TimeGC,iSwing_TimeGC,iStep_TimeGC,cStep_TimeGC
SSWS,11.62,11,L,1,0,0.200000000000001,0.56,0.760000000000002,1.1,3.82468244714557,3.85262537002563,3.85262537002563,1,0.68,-8.31620407104492,26.5048789978027,154.446182250977,0.313405126333237,-0.262439638376236,0.712712645530701,26.1473045349121,-9.73060989379883,-3.51667475700378,4.5555853843689,7.02805137634277,69.1148300170898,380.805725097656,0.549490630626678,0.367901533842087,-0.893069505691528,9.03717041015625,16.8591842651367,-18.3825531005859,-222.795104980469,-303.31884765625,-0.951847791671753,-1.33307540416718,-1.57236964950369,1.49609365779384,10.2863947347277,7.24650181543993,9.1743379470268,37.3490905079856,77.8645042975274,85.6861474641165,0.200000000000001,0.200000000000001,0.359999999999999,0.34,0.540000000000001,0.56,0.531390801072121,0.66083588240086,0.541150689125061,0.669225679744145,-0.00909977669129244,18.1818181818183,18.1818181818183,32.7272727272726,30.9090909090909,49.0909090909091,50.9090909090909
SSWS,12.72,12,L,1,0,0.199999999999999,0.559999999999999,0.76,1.12,3.82468244714557,3.59959864616394,3.59959864616394,0,0.68,-8.1726541519165,26.3513011932373,150.581924438477,0.258539229631424,-0.273396164178848,0.795481741428375,25.9971313476563,-9.84250259399414,-3.67391276359558,5.20138740539551,7.890953540802,69.0781402587891,364.017547607422,0.568160831928253,0.391018986701965,-0.928473293781281,8.62786102294922,16.2695007324219,-18.2932510375977,-223.308929443359,-307.292358398438,-0.875784873962402,-1.30780231952667,-1.61261276068241,1.4269576587058,10.3901302075768,7.16551510870226,9.1069618442979,39.2554071928982,78.107311214953,85.1995188330191,0.199999999999999,0.200000000000001,0.359999999999999,0.359999999999999,0.56,0.559999999999999,0.549100399017334,0.682859481156197,0.529575169086456,0.654910563045777,0.0181011144668839,17.8571428571428,17.857142857143,32.1428571428571,32.1428571428571,50.0000000000001,49.9999999999999
SSWS,13.84,13,L,1,0,0.18,0.52,0.720000000000001,1.06,3.82468244714557,3.7942910194397,3.7942910194397,0,0.64,-5.74011945724487,26.6663150787354,142.24592590332,0.328330725431442,-0.209543541073799,0.490663975477219,27.1236915588379,-10.3186988830566,-3.01509022712708,5.94066476821899,10.2734508514404,69.025260925293,378.873474121094,0.475675523281097,0.290929406881332,-0.954037666320801,6.48744964599609,16.1524200439453,-21.0509338378906,-249.593399047852,-310.994873046875,-0.83614307641983,-1.33551979064941,-1.61254726328013,1.31344367859272,10.5613180305537,7.07549973467324,9.31249734729979,39.341427047054,77.2594782615805,86.1406840232409,0.18,0.200000000000001,0.34,0.34,0.540000000000001,0.52,0.549873486161232,0.683820889829211,0.505888789892197,0.62561829097534,0.0416615532366392,16.9811320754717,18.867924528302,32.0754716981132,32.0754716981132,50.9433962264152,49.0566037735848
SSWS,14.9,14,L,1,0,0.199999999999999,0.56,0.74,1.1,3.82468244714557,4.1990065574646,4.1990065574646,1,0.66,-7.60133981704712,27.8738422393799,155.592575073242,0.361450374126434,-0.268671333789825,0.696771919727325,26.0324878692627,-9.36942863464355,-3.91064405441284,5.79248905181885,7.54573440551758,70.9399185180664,387.353881835938,0.474184274673462,0.240650549530983,-1.13161218166351,5.48513031005859,15.2028121948242,-21.4762496948242,-245.288513183594,-306.324798583984,-0.934805989265442,-1.39545845985413,-1.50395090792424,1.46414954403062,10.3848239205695,7.20603794144336,9.66167053752842,40.6727222595556,80.737154120591,86.1637419300115,0.199999999999999,0.18,0.360000000000001,0.359999999999999,0.539999999999999,0.56,0.556580722332001,0.692161987048881,0.552684038877487,0.683488645647919,0.00351285246839068,18.1818181818181,16.3636363636363,32.7272727272728,32.7272727272727,49.090909090909,50.909090909091
SSWS,16,15,L,1,0,0.16,0.52,0.699999999999999,1.06,3.82468244714557,4.13355731964111,4.13355731964111,1,0.64,-5.43828248977661,25.8591022491455,147.737075805664,0.182282760739326,-0.291522115468979,0.607079803943634,27.3576469421387,-11.7048168182373,-3.34881734848022,6.88131809234619,9.09790706634521,68.891487121582,372.516387939453,0.687443852424622,0.533752501010895,-0.862855613231659,11.6718597412109,19.4582443237305,-13.9968719482422,-236.473052978516,-305.335876464844,-0.947575926780701,-1.25810194015503,-1.85355598203898,1.36657947132337,11.4835010629526,6.92634209040266,8.78872647948609,35.1766976686746,66.0106428292268,84.8177068515412,0.16,0.18,0.359999999999999,0.359999999999999,0.539999999999999,0.52,0.564141109585762,0.701564060197403,0.493289589881897,0.610037218345168,0.0670034639050424,15.0943396226415,16.9811320754717,33.9622641509434,33.9622641509434,50.9433962264151,49.0566037735849
SSWS,17.06,16,L,1,0,0.200000000000003,0.560000000000002,0.720000000000002,1.1,3.82468244714557,3.79006433486938,3.79006433486938,0,0.66,-8.40679550170898,25.7829532623291,149.337142944336,0.306818455457687,-0.33382984995842,0.582349359989166,27.2427177429199,-10.778621673584,-3.82104897499084,7.27910089492798,6.04669713973999,70.2900314331055,376.930633544922,0.559690237045288,0.332722365856171,-1.02142953872681,6.44228363037109,14.9971771240234,-20.611198425293,-236.80842590332,-309.450408935547,-0.86530613899231,-1.38007318973541,-1.58295850703082,1.4556787683181,10.6782336642466,7.16409743904067,9.56672036091249,37.9577792689587,79.8267036931548,85.4353872822704,0.200000000000003,0.16,0.359999999999999,0.379999999999999,0.539999999999999,0.560000000000002,0.535695031285286,0.666188609179786,0.548761427402496,0.678637663502876,-0.0120487973606806,18.1818181818184,14.5454545454545,32.7272727272726,34.5454545454544,49.090909090909,50.909090909091
SSWS,18.16,17,L,1,0,0.239999999999998,0.52,0.719999999999999,1.08,3.82468244714557,3.61349725723267,3.61349725723267,0,0.64,-8.10795593261719,26.0440864562988,150.268692016602,0.335458427667618,-0.277603954076767,0.564552247524261,27.1177883148193,-9.61084365844727,-2.44816875457764,5.51888370513916,8.714599609375,68.2564849853516,375.681030273438,0.456144541501999,0.278039067983627,-0.91341495513916,9.12912750244141,15.4126663208008,-19.5305938720703,-198.314697265625,-300.575744628906,-0.98939836025238,-1.3561075925827,-1.34625710136356,1.46078324353258,10.4879423214458,6.99325272935898,9.35104395385221,44.6818165574704,78.6442986810687,85.8025170863744,0.239999999999998,0.199999999999999,0.280000000000001,0.359999999999999,0.559999999999999,0.52,0.544601187109947,0.67726427577265,0.529789850115776,0.655176052974298,0.0137857972386076,22.2222222222221,18.5185185185185,25.9259259259261,33.3333333333333,51.8518518518518,48.1481481481482
SSWS,19.24,18,L,1,0,0.200000000000003,0.540000000000003,0.740000000000002,1.12,3.82468244714557,3.44231820106506,3.44231820106506,0,0.66,-7.34259510040283,24.4490089416504,146.285064697266,0.236576914787292,-0.238592132925987,0.59217756986618,26.6206436157227,-10.8584833145142,-2.93994665145874,6.57381296157837,8.46304130554199,68.7248382568359,347.081512451172,0.628876388072968,0.415060102939606,-0.839802443981171,10.650634765625,17.0417251586914,-13.8665313720703,-197.487594604492,-276.662780761719,-0.930320084095001,-1.3297256231308,-1.53676721213749,1.35009972645554,10.4239618877625,7.31001855854597,9.08005715164571,35.7274508207284,75.6269662401047,85.9286686559747,0.200000000000003,0.199999999999999,0.34,0.379999999999999,0.579999999999998,0.540000000000003,0.548626303672791,0.682269897718318,0.51770007610321,0.640224972999525,0.029002590722811,17.8571428571431,17.8571428571428,30.3571428571428,33.9285714285713,51.7857142857141,48.2142857142859
SSWS,20.36,19,L,1,0,0.199999999999999,0.539999999999999,0.719999999999999,1.1,3.82468244714557,3.75054025650024,3.75054025650024,0,0.66,-9.04070377349854,25.5637722015381,146.763763427734,0.4760382771492,-0.403887212276459,0.552905201911926,25.7008247375488,-9.94537162780762,-2.78389263153076,5.48988389968872,8.76507472991943,68.1430435180664,379.745056152344,0.477274954319,0.240297719836235,-1.06786394119263,5.5810546875,15.8835220336914,-19.9200134277344,-246.443557739258,-292.537170410156,-0.841827213764191,-1.35862481594086,-1.36989623317706,1.49474625099696,10.0803547576561,7.19276779093681,9.40653698811681,39.1554771047933,79.8853549228619,86.1638584198259,0.199999999999999,0.18,0.34,0.380000000000003,0.560000000000002,0.539999999999999,0.559901490807533,0.696291683990097,0.566597700119019,0.700695275130639,-0.00594426464343718,18.1818181818181,16.3636363636363,30.9090909090909,34.5454545454547,50.909090909091,49.090909090909
SSWS,21.46,20,L,1,0,0.18,0.539999999999999,0.719999999999999,1.08,3.82468244714557,3.51763129234314,3.51763129234314,0,0.64,-6.11534738540649,26.8762664794922,144.174377441406,0.246805265545845,-0.324215531349182,0.614146888256073,27.6135292053223,-9.49999237060547,-3.68634796142578,5.5851411819458,7.62573719024658,70.1866455078125,353.253753662109,0.602034389972687,0.342979431152344,-1.02430653572083,12.2072525024414,18.0659561157227,-16.9380798339844,-197.368682861328,-308.392669677734,-0.961208462715149,-1.2283970117569,-1.70106218159086,1.25234191669335,10.616483910281,7.3853110917992,8.75511112912993,36.1839726429639,76.2435701920017,84.3273778682057,0.18,0.18,0.359999999999999,0.359999999999999,0.539999999999999,0.539999999999999,0.547392591834068,0.680735657663869,0.502332106232643,0.621219841361337,0.0429260030600533,16.6666666666667,16.6666666666667,33.3333333333333,33.3333333333333,50,50
