Task,ExpTime,iStrideCt,iStrideLeg,iStrideUse,iHS1,cTO,cHS,iTO,iHS2,iA2_Target,iA2_Actual,iA2_Decr,iA2_Success,iA2_Time,iHipAng1_MinSt,iHipAng1_MaxSw,iHipAngVel1_MaxStSw,iHipPow1_H1,iHipPow1_H2,iHipPow1_H3,cHipAng1_MaxSt,cHipAng1_MinSw,iHipAng2_MinSt,iHipAng2_MaxSw,iKneeAng1_IC,iKneeAng1_MaxSw,iKneeAngVel1_MaxSw,iKneeMom1_MaxSt,iKneePow1_K2,iKneePow1_K3,iAnkAng1_iA2,iAnkleAng1_MaxSt,iAnkleAng1_MinStSw,iAnkAngVel1_iA2,iAnkleAngVel1_MinSt,iAnkMom1_iA2,iAnkleMom1_MinSt,iGRF_AP_brake,iGRF_AP_propel,iGRF_VT_F1,iGRF_VT_F2,iGRF_VT_F3,iFT_COPreldisp_cTO,iFT_COPreldisp_cHS,iFT_COPreldisp_iA2,iDLS1_Time,iDLS2_Time,iSLS_Time,iSwing_Time,iStep_Time,cStep_Time,iStep_Length,iStep_Length_LL,cStep_Length,cStep_Length_LL,StepLengthSym,iDLS1_TimeGC,iDLS2_TimeGC,iSLS_TimeGC,iSwing_TimeGC,iStep_TimeGC,cStep_TimeGC
SSWS,0.68,1,L,1,0,0.22,0.54,0.76,1.08,3.90778855482737,3.85919904708862,3.85919904708862,0,0.66,-7.84945154190063,25.2130393981934,154.468017578125,0.381793618202209,-0.371625781059265,0.698388278484344,25.4411888122559,-12.7540655136108,-4.8064432144165,4.03830528259277,13.3079195022583,68.6854858398438,363.908142089844,0.68755978345871,0.451569408178329,-1.44911217689514,8.85295104980469,17.1837997436523,-17.1073608398438,-238.625625610352,-316.736267089844,-0.861454129219055,-1.36401569843292,-1.554948972337,1.36594367997412,10.8081190393824,6.99277328129637,9.07826186548246,40.9779061885191,78.1597709422982,85.394439497561,0.22,0.22,0.32,0.32,0.54,0.54,0.57397934794426,0.703013648127261,0.496671915054321,0.605137095842708,0.0722059885993342,20.3703703703704,20.3703703703704,29.6296296296296,29.6296296296296,50,50
SSWS,1.76,2,L,1,0,0.2,0.54,0.78,1.1,3.90778855482737,3.93645668029785,3.93645668029785,1,0.66,-8.02552032470703,25.0300312042236,150.720779418945,0.291037678718567,-0.320030122995377,0.564615309238434,26.1074542999268,-12.5269994735718,-4.83853960037231,4.33088064193726,8.09022903442383,68.6608428955078,349.995971679688,0.610914826393127,0.334874391555786,-1.18083524703979,10.2562713623047,16.9834976196289,-20.2754516601563,-190.070236206055,-313.521240234375,-1.08589696884155,-1.39164054393768,-1.37843489051581,1.52193317419128,10.2821518957495,7.34890387174667,9.42855911604972,38.0055749154765,78.3882776839601,85.7104433592664,0.2,0.24,0.34,0.32,0.56,0.54,0.55195164680481,0.676033976134941,0.542005956172943,0.660371364489318,0.00909147722434058,18.1818181818182,21.8181818181818,30.9090909090909,29.0909090909091,50.9090909090909,49.0909090909091
SSWS,2.86,3,L,1,0,0.2,0.54,0.74,1.1,3.90778855482737,3.65863800048828,3.65863800048828,0,0.66,-8.29723262786865,24.4823932647705,145.510147094727,0.24554443359375,-0.381087452173233,0.523242473602295,25.8229541778564,-11.7685613632202,-4.51030397415161,4.54159593582153,8.73053073883057,68.3455047607422,350.817749023438,0.586572647094727,0.317715972661972,-1.20762038230896,11.2429275512695,17.7128677368164,-14.2825164794922,-199.964233398438,-297.022918701172,-0.965282320976257,-1.34869074821472,-1.33645394914733,1.34108583305561,10.0560444854944,7.46053204201603,9.16590641674915,38.7580653305992,74.3266248205756,85.0616847020097,0.2,0.2,0.34,0.36,0.56,0.54,0.5667824447155,0.694198834123603,0.509957730770111,0.621324320637319,0.052774768917451,18.1818181818182,18.1818181818182,30.9090909090909,32.7272727272727,50.9090909090909,49.0909090909091
SSWS,3.96,4,L,1,0,0.2,0.56,0.76,1.1,3.90778855482737,3.78141808509827,3.78141808509827,0,0.68,-7.58872365951538,25.5941867828369,142.994613647461,0.310966938734055,-0.275084584951401,0.491334110498428,25.010684967041,-12.2541389465332,-4.78881406784058,3.57694363594055,9.52829551696777,67.963508605957,336.240417480469,0.564602673053741,0.31561541557312,-1.0844064950943,6.99697113037109,16.9322738647461,-18.0898895263672,-230.408325195313,-296.580352783203,-0.890484988689423,-1.35583066940308,-1.34516309687882,1.44306513789063,10.0228300092258,7.52721190989236,9.15407275459185,36.8588662938238,79.5706826337158,86.7834509438792,0.2,0.2,0.359999999999999,0.34,0.54,0.56,0.550390779972076,0.674122216260216,0.543454974889755,0.662136825655,0.00634075238807071,18.1818181818182,18.1818181818182,32.7272727272727,30.9090909090909,49.0909090909091,50.9090909090909
SSWS,5.06,5,L,1,0,0.2,0.52,0.74,1.08,3.90778855482737,3.70815253257751,3.70815253257751,0,0.66,-8.28990840911865,25.4840393066406,148.88948059082,0.261057883501053,-0.318789452314377,0.62427020072937,25.2094097137451,-10.7204151153564,-4.09490156173706,3.65674042701721,11.6133251190186,69.1737213134766,343.118713378906,0.573367297649384,0.343658655881882,-1.26198077201843,9.14792633056641,17.4379043579102,-16.2179718017578,-227.419692993164,-306.681823730469,-0.858362913131714,-1.35895776748657,-1.28972759351466,1.36386247417904,10.1214370870004,7.22320942290433,9.15997898361391,40.2738989905628,74.9136196592483,85.7071314991164,0.2,0.22,0.32,0.34,0.56,0.52,0.53727251291275,0.658054877225258,0.493224680423737,0.600937040454409,0.0427442527489066,18.5185185185185,20.3703703703703,29.6296296296297,31.4814814814815,51.8518518518518,48.1481481481482
SSWS,6.14,6,L,1,0,0.220000000000001,0.56,0.760000000000001,1.1,3.90778855482737,3.79654574394226,3.79654574394226,0,0.68,-9.03578186035156,25.1494331359863,152.807067871094,0.236274495720863,-0.342266857624054,0.602055311203003,24.3356704711914,-13.2328577041626,-4.37348413467407,3.30286622047424,10.9761905670166,68.4055786132813,363.164611816406,0.604212284088135,0.420428246259689,-1.23733854293823,9.56045532226563,16.9129486083984,-19.7465744018555,-187.612884521484,-294.679534912109,-1.06409025192261,-1.37858462333679,-1.19392498058269,1.42900846743144,9.96926665235342,7.49566107300276,9.3671431692674,36.4897313962611,78.1560330180738,85.6888681025616,0.220000000000001,0.2,0.34,0.34,0.54,0.56,0.545201241970062,0.667766036275766,0.530002415180206,0.645746442652577,0.0141357655257043,20,18.1818181818182,30.9090909090909,30.9090909090909,49.0909090909091,50.9090909090909
SSWS,7.24,7,L,1,0,0.22,0.58,0.74,1.12,3.90778855482737,3.64476418495178,3.64476418495178,0,0.68,-9.65284729003906,25.1508750915527,159.963531494141,0.302735716104507,-0.330603629350662,0.499133914709091,24.4143104553223,-11.0343608856201,-3.48944330215454,4.69901466369629,9.07314872741699,70.8571929931641,325.738311767578,0.545618116855621,0.359242886304855,-1.18793070316315,6.91746520996094,15.3652038574219,-16.1026763916016,-225.445404052734,-284.336273193359,-0.855118155479431,-1.32446491718292,-1.21990797075619,1.43445803495376,9.60611970920623,7.60746241019634,9.01144947189884,39.8902948298858,80.968955424929,86.1831636533027,0.22,0.16,0.36,0.379999999999999,0.539999999999999,0.58,0.544337034225464,0.666707548994915,0.560309797525406,0.68267247124222,-0.0144596108374521,19.6428571428571,14.2857142857143,32.1428571428572,33.9285714285714,48.2142857142857,51.7857142857143
SSWS,8.36,8,L,1,0,0.24,0.56,0.76,1.12,3.90778855482737,3.74111366271973,3.74111366271973,0,0.68,-10.1175394058228,25.0611896514893,155.746170043945,0.272596657276154,-0.358216017484665,0.508133769035339,25.2335033416748,-12.9042692184448,-4.41987800598145,3.84578919410706,11.3013544082642,68.9733047485352,349.379760742188,0.517363607883453,0.270990610122681,-1.07308340072632,7.35420227050781,14.4649353027344,-18.6178817749023,-197.308486938477,-282.989654541016,-1.01375198364258,-1.39298331737518,-1.06937246158493,1.53142775761471,10.1072303311777,7.46077412230804,9.38342527766645,44.9477881641827,80.7984134420152,87.7694993609297,0.24,0.199999999999999,0.32,0.360000000000001,0.56,0.56,0.552538275718689,0.67675248305391,0.547879010438919,0.667526999616886,0.00423408950257309,21.4285714285714,17.8571428571428,28.5714285714286,32.1428571428572,50,50
SSWS,9.48,9,L,1,0,0.199999999999999,0.52,0.74,1.08,3.90778855482737,3.75280356407166,3.75280356407166,0,0.66,-7.63529443740845,26.5222625732422,143.357498168945,0.319980204105377,-0.316366940736771,0.555436551570892,24.6003017425537,-11.9176197052002,-4.27630615234375,4.59037733078003,9.39093971252441,69.4771957397461,363.249969482422,0.581098198890686,0.274933069944382,-1.18030607700348,10.0261077880859,18.2271423339844,-16.0050888061523,-222.968292236328,-304.162567138672,-0.901145398616791,-1.29210245609283,-1.21312077709484,1.3298982337214,10.0095800890098,7.34904567425348,8.86941460334625,37.568082506301,72.3717419037341,87.1320102801212,0.199999999999999,0.220000000000001,0.32,0.34,0.56,0.52,0.557844877243042,0.68325204320386,0.46964830160141,0.572211958607432,0.0858366531842289,18.5185185185185,20.3703703703704,29.6296296296297,31.4814814814815,51.8518518518519,48.1481481481481
SSWS,10.56,10,L,1,0,0.199999999999999,0.539999999999999,0.719999999999999,1.06,3.90778855482737,3.49607920646667,3.49607920646667,0,0.66,-8.2076416015625,25.1947078704834,146.698425292969,0.302036911249161,-0.31941619515419,0.657414555549622,25.5272998809814,-11.6549205780029,-3.98333477973938,4.15030574798584,10.891845703125,68.3178329467773,345.889404296875,0.619210779666901,0.364238798618317,-1.11578679084778,8.70489501953125,17.0472717285156,-15.3097915649414,-221.482650756836,-290.678192138672,-0.849851489067078,-1.30235719680786,-1.29201708554638,1.34317200856471,9.81904257859432,7.64240855570699,9.12423680035474,33.9455767121734,76.307875886862,85.8687428588314,0.199999999999999,0.18,0.34,0.34,0.52,0.539999999999999,0.524553418159485,0.642476447033659,0.510968565940857,0.622555905997917,0.013118844821465,18.8679245283018,16.9811320754717,32.0754716981132,32.0754716981132,49.0566037735849,50.9433962264151
